Year,Temperature Anomaly (*C)
1920,-0.37
1921,-0.14
1922,-0.12
1923,-0.03
1924,-0.34
1925,0.03
1926,-0.24
1927,-0.27
1928,-0.11
1929,-0.45
1930,0.02
1931,-0.03
1932,-0.19
1933,-0.33
1934,-0.02
1935,-0.09
1936,0.01
1937,-0.04
1938,-0.09
1939,0.47
1940,0.35
1941,0.29
1942,0.07
1943,0.22
1944,0.18
1945,0
1946,-0.19
1947,-0.11
1948,-0.21
1949,-0.11
1950,-0.21
1951,0.18
1952,0.03
1953,0.06
1954,-0.12
1955,-0.27
1956,-0.01
1957,0.11
1958,0.09
1959,0.03
1960,0.23
1961,-0.11
1962,0.03
1963,0.05
1964,-0.23
1965,-0.03
1966,-0.02
1967,0.02
1968,-0.11
1969,0.29
1970,-0.09
1971,-0.06
1972,0.24
1973,0
1974,-0.09
1975,-0.12
1976,0.16
1977,0.1
1978,0.12
1979,0.51
1980,0.24
1981,0.46
1982,0.45
1983,0.24
1984,0.02
1985,0.19
1986,0.22
1987,0.45
1988,0.29
1989,0.41
1990,0.43
1991,0.3
1992,0.2
1993,0.21
1994,0.39
1995,0.31
1996,0.36
1997,0.58
1998,0.58
1999,0.47
2000,0.3
2001,0.62
2002,0.51
2003,0.74
2004,0.54
2005,0.73
2006,0.78
2007,0.49
2008,0.59
2009,0.72
2010,0.51
2011,0.59
2012,0.53
2013,0.71
2014,0.8
2015,1.12
2016,0.9
2017,0.96
2018,0.94
2019,1.12
2020,0.82
2021,0.89
2022,0.82
2023,1.38